tweet_id,name,retweet_count,text,created_at,analysis,analysis_score
1488625995703889922,abbie but with cactus emojis,0,had someone argue with me about how many bottles of nitroglycerin sublingual tabs we were giving them yknow the tabs YOU ONLY TAKE WHEN UR HAVING A HEART ATTACK MF WANTED 100 INSTEAD OR 25? HELLO?,2022-02-01 21:31:09+00:00,Positive,0.3527
1488626001089380354,xoxo xoxo,0,slvtprincess hello,2022-02-01 21:31:10+00:00,Neutral,0.0
1488626000661561344,Midwest Anti-Aging & MedSpa,0,Hello February A new month means New Specials at Midwest AntiAging and Medspa! You will absolutely LOVE this February! Call our office to schedule your next lip filler or lip flip! You'll be happy you did! Are you looking to smooth some fine lines? We are offering a,2022-02-01 21:31:10+00:00,Positive,0.9168
1488626002490105856,StabTheCrab,0,Cloud9 C9Stratus Hello I have still not recieved my replacement for the missized jacket from the second crate,2022-02-01 21:31:10+00:00,Neutral,0.0
1488626002943090693,Shashi Rathod,0,TheSunainaa Hello,2022-02-01 21:31:11+00:00,Neutral,0.0
1488626005816201216,roller girl 18+,0,hello do it now,2022-02-01 21:31:11+00:00,Neutral,0.0
1488626010916417538,boop,0,ihrtjeongin Hello,2022-02-01 21:31:12+00:00,Neutral,0.0
1488626010744623106,Aurora,0,Hello how ar you ? Are you looking for a good relaxing massage? MassageVIP ? morrocan bath? 0573498856 massage in riyadh massage vip riyadh,2022-02-01 21:31:12+00:00,Positive,0.885
1488626013244375040,Tye The Dreamer,0,Hello Dreamers! Next up we are highlighting Festus Claudius Claude McKay who grew up in Sunny Ville Jamaica in 1889 His work ranged from celebrating peasant life in Jamaica to protesting racial and economic inequities Tye the dreamer is focused on her aspirations because,2022-02-01 21:31:13+00:00,Positive,0.7644
