tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device
1485688899716407299,spreadlovetotheworld,spreadlovettw,0,@abuti_glen @USEmbassyKyiv We were so nice to let so many Afghanistan citizens into our country where they won’t be terrorized by the men in flip flops. America is too kind to the world but the world just jealous of our might.,2022-01-24 19:00:11+00:00,0,[],18,,Twitter Web App
1485688874953228288,Ironieflo,flopia54,0,"@QaharBalkhi Abdul Qahar Balkhi. Are these 34 elected governors, women and/or men from Afghanistan, representing a federal democratic Afghanistan? (if not, Taliban, take a piece of ""Dispute"" with you from Oslo. Exchange, discuss. Without violence and terror)",2022-01-24 19:00:05+00:00,0,[],2055,,Twitter Web App
1485688873397243904,yunus khan,Khan851Khan,0,@meerahmadyaad What do they want. They have already khorasan. They can go there. No place for Khorasanis haramian in Afghanistan.,2022-01-24 19:00:04+00:00,1,[],64,,Twitter for iPhone
1485688857026834432,Iqbal Khan,IqbalKh76593815,0,"@mjdawar It is also well know that you were NDS agent working 4 Amrullah Saleh, worst enemy of Pak. While sitting in Parliament you are accusing own country for Afghanistan where millions of ppl confessed working as agents for Foriegn forces and run away wd these forces. Wt a nation.",2022-01-24 19:00:00+00:00,0,[],2575,,Twitter for Android
1485688856561299462,Tyrrell 🇯🇲,Cardikorrdei,0,@notbav @Cb2Era Couple weeks ago when you were in Afghanistan.,2022-01-24 19:00:00+00:00,12,[],10766,,Twitter for Android
1485688856280469504,سيف الله‎,regiment786,0,"As you know, We are fighting against extremists in Afghanistan. Your donation will be used to education and supply support for the liberation from Taliban and Daesh. Allah is great!  BTC : bc1qqdhuj2fmx4g3zjv3dz9s9th4tasxm0925xu8cj ETH : 0x0d0033420D224FAee732cE03A07448115187d9C4",2022-01-24 19:00:00+00:00,0,[],1,,Twitter Web App
1485688853738541065,Ronald Meesters,meesters_ronald,0,"@1BayNaam @JoeBiden @POTUS Afghanistan was lost, the Afghanistan government installed by the US had no power outside of Kabul at all, at no point in time the US was able to win in Afghanistan and staying would just have meant more money and lives lost for the exact same outcome.",2022-01-24 19:00:00+00:00,0,[],286,,Twitter Web App
1485688821928927236,Afghanistan 🇦🇫,7fqgb4m80fzxrPQ,0,@JoeBiden And what should Afghanistan for new an wanted government?,2022-01-24 18:59:52+00:00,0,[],9,,Twitter for iPhone
1485688803276865540,Wings And Rockets,SP1AUTOINJECT,0,@CoastSage @tattooedsaint1 @JoshWal03767364 @PedroYokes @A_JCLINE @barbarastarrcnn I was t exactly keen on the UK returning to Afghanistan but since you are an ally… Maybe you’re not worth that now.,2022-01-24 18:59:48+00:00,0,[],4315,,Twitter for iPad
1485688790823833601,🍂 The Pectrichory 🍄,The_Petrichory,2,Did they really pull out of Afghanistan to free up resources to start some shit with Russia and/or China?  This intrusive thought has been getting louder with each passing day for a year now.,2022-01-24 18:59:45+00:00,6,[],75661,,Twitter Web App
1485688737300373507,Adam Ali,MrAAli94,0,@VzierOfKPK Off topic  In the future Do you think afghanistan can threaten the secular elite in pakistan with an islamic revolution?,2022-01-24 18:59:32+00:00,0,[],6022,,Twitter Web App
1485688726881804289,Tonchi 😷 🌊 ReSisTer 🌊,tonchitorres,0,"@NikkiHaley Thank God Biden isn’t Trump because Biden is handling the conflict with strength instead of Trump’s reckless impulsive exaggerated threats.  I remember when Trump gave The Kurds up while nobody in the government knew anything about it.  Also, Trump gave Afghanistan to the TALIBAN",2022-01-24 18:59:29+00:00,0,[],3487,,Twitter for iPad
1485688708003078144,Get vaccinated. The life you save may be your own.,snarkiekimmie,1,"@RobertBWelchII My brother is one of them. He doesn't like Biden over Afghanistan, and just doesn't think Kamala has the it factor. He wants Liz Cheney to move more left. I think some of his brain cells were killed when he had covid-19 last year. He got it 2 days after being vaccinated.",2022-01-24 18:59:25+00:00,3,[],29009,,Twitter for Android
1485688693549633542,Allyria | Lady Stark,EMayaturk,0,"@Lorentag @JewishNewsUK He wore N*zi uniform, he used racial slurs against Pakistani soldiers, he said shooting people in Afghanistan was like video game, stop defending him",2022-01-24 18:59:21+00:00,0,[],57367,,Twitter Web App
1485688638541287429,𝑃𝑙𝑎𝑦𝑏𝑜𝑦لا,thruyourfone,0,@notbav @Cb2Era while u were away in afghanistan,2022-01-24 18:59:08+00:00,4,[],1305,,Twitter for iPhone
1485688629875855361,Abrighterfutureforall,MemyselfandI019,0,"@Patrick84058950 @SpokespersonCHN The same amount was spent on the Marshal plan to build Europe. Lack of a proper strategy led to the failure of the US efforts in Afghanistan. Now that there’s peace, there’s an opportunity for the PRC to demonstrate its generosity to one of its neighbors.",2022-01-24 18:59:06+00:00,0,[],78182,,Twitter for iPhone
1485688611374784518,Lisa McDonald,lmcdonald5461,0,"@tommcgee @DefiantLs That's what Biden suggested.  He said American citizens  have to get themselves out, just like in Afghanistan.  And another country finds out that this administration does nothing but lie.",2022-01-24 18:59:02+00:00,1,[],4204,,Twitter Web App
1485688599752462348,Ameer Momand,BaradarMullah,0,@Mashavi007 @MJalal313 It is because Afghanistan health system is so bad. We could not afford to do testings. Thousands of people died in Afghanistan without reporting. Where are you from?,2022-01-24 18:58:59+00:00,0,[],2949,,Twitter for Android
1485688582551580673,Masoud Rahmani,MasoudRahmani,3,The Taliban stormed a safe house in #Mazar_e_Sharif and arrested dozens of people trying to flee Afghanistan.Many of those detained were women. Talban spokesman said the men had been detained because they did not have travel document @NancyFaeser @BMI_Bund @OlafScholz #Ortskräfte,2022-01-24 18:58:55+00:00,5,"[{'text': 'Mazar_e_Sharif', 'indices': [36, 51]}, {'text': 'Ortskräfte', 'indices': [269, 280]}]",80,,Twitter for iPhone
1485688543108284421,fabrício conceição,fabriconceicao,0,"@SputnikInt Hey, @BorisJohnson, tell us what have become Iraq, Afghanistan, Syria, Libya and other countries invaded by US and UK",2022-01-24 18:58:46+00:00,0,[],13,,Twitter Web App
1485688540520398857,Habib Khan,HabibKhanT,52,"Afghanistan isn’t safe. From January 15th to 21th; Afghan Peace Watch has documented 88 security incidents across Afghanistan. The Taliban have arrested 13 people, have attacked civilians 18 times, and have killed and wounded 60 civilians in just one week.#FreeAfghanistan",2022-01-24 18:58:45+00:00,170,"[{'text': 'FreeAfghanistan', 'indices': [256, 272]}]",24122,,Twitter for iPhone
1485688501102268416,Gay Master Chief,weed_skeleton,0,The idea of a traditional ie not nuclear war with Russia is so funny to me. We just came off a historic L in Afghanistan and now you expect our weeaboo troops to fight RUSSIANS more or less on their home turf. Lmao cmon now. Come on.,2022-01-24 18:58:36+00:00,3,[],4733,,Twitter for iPhone
1485688423251955714,BuzzyCat,BuzzyCatSG,0,"@GodarmyofAngel @SenTedCruz @MarshaBlackburn @RepMattGaetz @DonaldJTrumpJr @RandPaul @SenRonJohnson @Jim_Jordan @SenJohnKennedy @LindseyGrahamSC And Bring Home All American that stuck in Ukraine, and Afghanistan.  Can you feel how hopeless they are? Being abandoned by your own “so-called” leader! ",2022-01-24 18:58:17+00:00,0,[],283,,Twitter for iPhone
1485688372354072580,Javid Sahibi,JavidSahibi,0,@AndyKimNJ Hi i am from kabul afghanistan.i was working in ministry of interior.when the taliban take over afghanistan i lost my job and threat me and my life is in risk.please help me,2022-01-24 18:58:05+00:00,0,[],13,,Twitter for Android
1485688357271502848,J_N@sh,JNsh45186293,0,"@TherealSSB @jeremycorbyn Iraq, Afghanistan, Vietnam, Korea, Syria, Panama, Grenada, Canada are but a few that spring to mind...  Orchestrated overthrow of how many governments?  Armed and; funded opposition forces/militias/separatists in how many countries?  Grim indeed.",2022-01-24 18:58:01+00:00,0,[],13623,,Twitter for Android
1485688326304661505,Joe Jackson,BlueCantGovern,0,"@Cricket_020 @r717techfl @J_Patidar19 Is Trump still the President? Let's just focus on Uncle Joe, who deftly navigated our Afghanistan exit.",2022-01-24 18:57:54+00:00,1,[],24,,Twitter for Android
1485688292523884547,Caledon Hockley,CaledonHockley3,0,"@JakeEvansGA Donald Trump removing over 80% of our military presence in Afghanistan without evacuating any civilians isn't the flex you think it is, genius...",2022-01-24 18:57:46+00:00,0,[],999,,Twitter Web App
1485688292494434307,Blanche Betz,BlancheBetz,0,@RepAndyBiggsAZ The ones in Afghanistan got plenty of warning. The ones in Ukraine are getting plenty of warning. Perhaps they need to take 'personal responsibility' if they don't heed the warnings. Just a thought.,2022-01-24 18:57:46+00:00,1,[],6843,,Twitter Web App
1485688225884688385,Gregory Rogers,GregoryRogers7,8,"Markets tanking, Border open, Covid, no laws, interest rates going to spike, inflation rampant, supply chains toast, about ready to let Ukraine and Taiwan be attacked, botched Afghanistan. Did I forget anything this fking moron has totally screwed up? Good job libs! Idiots",2022-01-24 18:57:30+00:00,20,[],97010,,Twitter for iPhone
1485688124881707017,🇺🇸PRESIDENT BIDEN FAN🇺🇸,203_ty,1,Do you think the media is going to treat Ukraine crisis coverage like they covered Afghanistan?,2022-01-24 18:57:06+00:00,2,[],8847,,Twitter for iPhone
1485688099334201350,James Ross moylan,jamesmoylan77,0,"@DrWaheedArian Yes,investment is needed in Afghanistan for highly profitable eco friendly technology revolution+ then Afghan people can return as the ex PM has asked.  Stop cashing in on dead people on the Fx Crypto markets its worse than the Aztecs!!  Please Respect promises to the troops WW2",2022-01-24 18:57:00+00:00,0,[],27882,,Twitter for Android
1485688091486859266,Ian Samuels. (Boofhead's Dirty Leftie),IanSamuels3,3,WTAF!!!  Now shops can't use female mannequins in Afghanistan. Or any type of female form to advertise products!!!  And the European Union are talking to the Taliban!!!,2022-01-24 18:56:58+00:00,4,[],21424,,Twitter for Android
1485688072050290688,spreadlovetotheworld,spreadlovettw,0,@MatosJulissa @abuti_glen @USEmbassyKyiv It’s not about ego it’s about facts. Why do American tax payer money have to be used to sustain Afghanistan schools and children. If the men in flip flops knew how to run a country there citizens wouldn’t need American help. We pulled out Because it was a waste of money,2022-01-24 18:56:53+00:00,0,[],18,,Twitter Web App
1485687994174644229,Robert I. Harrell,Thor2749,0,@AmericaRpts The evacuation of U.S.Embassy in Ukraine isn't presenting the best picture after the Afghanistan Debacle this isn't sending the right signals !,2022-01-24 18:56:35+00:00,0,[],17020,,Twitter Web App
1485687991276167168,Mary Millben,MaryMillben,4,A failed exit from #Afghanistan cost American lives.  Now a reactionary approach to the conflict between #Russia and #Ukraine.  The American presidency has always been the global leader in strategic foreign policy. The world looks to us for guidance. Where is the strategy @POTUS?,2022-01-24 18:56:34+00:00,29,"[{'text': 'Afghanistan', 'indices': [19, 31]}, {'text': 'Russia', 'indices': [105, 112]}, {'text': 'Ukraine', 'indices': [117, 125]}]",10661,,Twitter for iPhone
1485687952961376266,Fólkvangr,citizen_at_arms,0,"@ElenaChernenko Funny, huh? Were Soviet citizens warned on USSR invading Finland? or Cuban missile crisis w/ we swear there's no Soviet missiles  in Cuba? little green men going for a stroll? how about Afghanistan? Any announcement on ""about to conquer""? You're a real journo or Soviet type one?",2022-01-24 18:56:25+00:00,0,[],2594,,Twitter Web App
1485687943024898048,moleman,brands_are_key,0,If they withdraw from afghanistan but the military budget goes up it's a change in strategy not a change of heart,2022-01-24 18:56:23+00:00,3,[],9876,,Twitter for Android
